"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"762","RT @UNFCCC: How much hotter than normal were the Gulf of Mexico waters that supercharged hurricane #Harvey?",FALSE,0,NA,2017-09-04 23:44:04,FALSE,NA,"904852592517373952",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","BeSustainableFL",44,TRUE,FALSE,NA,NA
"763","#PhotosFromTheField: Soldiers with F Co., 49th Transportation Bn, #FortHood, TX drop off water in #Orange, TX.… https://t.co/lssI20jwtY",FALSE,65,NA,2017-09-04 23:44:03,TRUE,NA,"904852589581303812",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","TXMilitary",42,FALSE,FALSE,NA,NA
"764","The cheap prosperity gospel of Donald Trump and @JoelOsteen. #harvey https://t.co/aalGksOFQL",FALSE,1,NA,2017-09-04 23:44:01,FALSE,NA,"904852583294128129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ProgressWeekly",1,FALSE,FALSE,NA,NA
"765","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:44:01,FALSE,NA,"904852583092817920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Citsmetoo",11772,TRUE,FALSE,NA,NA
"766","RT @USNavy: Today's #USNavy photos of the day highlight Hurricane #Harvey relief support.
<U+2B07><U+FE0F> Download: https://t.co/mcVpSoew1b https://t.co…",FALSE,0,NA,2017-09-04 23:44:00,FALSE,NA,"904852575748489216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhonda1960",208,TRUE,FALSE,NA,NA
"767","RT @CovHousePrez: Here's how you can help us reach and shelter youth affected by #Harvey. Thanks for all your prayers and support, truly. G…",FALSE,0,NA,2017-09-04 23:43:58,FALSE,NA,"904852571063435264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","montana_woman",678,TRUE,FALSE,NA,NA
"768","RT @TexasTribune: Houston's historically black neighborhoods were devastated by flooding. They have little safety net after #harvey: https:…",FALSE,0,NA,2017-09-04 23:43:58,FALSE,NA,"904852567850717184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnOldLefty",133,TRUE,FALSE,NA,NA
"769","RT @fema: Here are the basics on Transitional Sheltering Assistance after #Harvey. To apply for assistance, go to https://t.co/mSsI4eEQev.…",FALSE,0,NA,2017-09-04 23:43:52,FALSE,NA,"904852544157077504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AllHazardsTFS",209,TRUE,FALSE,NA,NA
"770","Reading that Red Cross is turning away private citizens showing up w food from unapproved vendors. This is why people don’t donate. #Harvey",FALSE,0,NA,2017-09-04 23:43:49,FALSE,NA,"904852533268578304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsCalledABrain",1,FALSE,FALSE,NA,NA
"771","RT @HoustonHealth: Exposed to #Harvey floodwaters? You may need a #tetanus shot. https://t.co/RLegj5Pur1 #HouRecovers #HoustonRecovers #Hou…",FALSE,0,NA,2017-09-04 23:43:48,FALSE,NA,"904852529283989504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","laprintables",74,TRUE,FALSE,NA,NA
