"","text"
"91","My frequently used emoji list basically sums up my week of #Harvey in #Houston: <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B0><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+00A3><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00AE><ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+00A7><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><U+263A><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B0><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0090><ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> 
#thinkpositive #thinktacos"
"92","The tiger and two lions have been transported to @TheAustinZoo until @thetexaszoo is operational again. #Harvey https://t.co/VDOOXZ3MGi"
"93","Don't worry #Houston, we'll get you back on the road in no time #harvey #houstonstrong #truckerlife #bigrig… https://t.co/ognnc51wAZ"
"94","Do you have questions about renter's rights after #Harvey? Ask @TedABC13 a question NOW on Facebook Live:… https://t.co/osbfIEiqgl"
"95","RT @abc13houston: .@JJWatt's fundraising efforts for #Harvey relief reached nearly $27 million,thanks to $5 million donation from @HEB http…"
"96","RT @HoustoniaMag: #Harvey recovery efforts have been stymied by traffic, with months’ worth of work still ahead.
https://t.co/4aDKtmQFNf"
"97","RT @JerryHaddican: @TxDOT appreciates @USDOT &amp; the opportunity to provide information on infrastructure in TX after #Harvey https://t.co/UD…"
"98","RT @ReadyHarris: Touching debris that's touched #Harvey flood waters? WASH UP and WEAR GLOVES! Harris County Debris Pickup has begun. Info:…"
"99","RT @PatrickSvitek: The breakdown of the Trumps' $1 million personal donation to #Harvey relief efforts, via the White House: https://t.co/p…"
"100","A little levity between #Harvey and #Irma2017 . My dog and his stick... https://t.co/6zUy4B5iMp"
"101","Was informed today that our kids daycare is charging us for the entire week they were closed for #harvey even though they were closed"
"102","RT @Zello: If you used Zello during #Harvey please take a moment to give us feedback: https://t.co/TT8bgQCv3J https://t.co/JTJLaBBmhh"
"103","RT @SenTedCruz: .@SenateFloor:#Harvey was unlike anything. The scope of this disater is beyond words.  The destruction stretches from Corpu…"
"104","9/5, evening: #VET members + soldiers engaged in ""puppy therapy.""
#TAMU #CVM #Harvey https://t.co/OoMe7sIgrZ"
"105","RT @RebeccaOnFOX7: Watch my discussion w/ Mary from @austinpetsalive about #Harvey rescue efforts. &amp; face recognition to find lost pets! #A…"
"106","RT @bravelittleco: The Brave Little artist family rode out #Harvey &amp; are safe. We know many students, teachers, &amp; artists need help. #Houst…"
"107","9/5, evening: US National Guard members stopped by to help put up tents at new #VET base of operations in Beaumont.… https://t.co/NgtKQA80VV"
"108","RT @KPRC2: .@googoodolls turn The Woodlands #Texas concert into Hurricane #Harvey benefit https://t.co/b2rASJhePg https://t.co/TFoFLSYunC"
"109","@Montel_Williams Hmmm, don't recall you saying that about #Harvey"
"110","This water line shows just how high flood water rose at this #Beaumont home. Has to be at least 8 feet #Harvey… https://t.co/CzOoI0alVI"
"111","@cher will u be in Vegas (9/9-9/12) I really want to see u in concert Ive been getting my apt back at 100 n I haven’t checked dam #Harvey"
"112","RT @abc13houston: The Empire State Building in New York is dark tonight in solidarity with those affected by #Harvey: https://t.co/mzSLmlYv…"
"113","Of course they are. Godspeed

After #Harvey, @PHXFire Task Force 1 en route to Florida to help if #Irma hits https://t.co/MJOQbdNEL4"
"114","RT @TFRW: There are still people in need of relief from #Harvey. Visit our website to see how you can help! https://t.co/wpe6Bx1ePm"
"115","RT @KeriKimler: Due to the after-effects of Hurricane #Harvey, the date and location for this event have changed. https://t.co/2l8EIyEuvg"
"116","The latest The San Antonio Daily! https://t.co/BnzZfbah9w #ksatnews #harvey"
"117","RT @HCSOTexas: So many have asked. Here's volunteer info. We need you! #harvey #hounews #HurricaneHarvey https://t.co/r96nmFJAx4"
"118","Today in my commute to work in Austin, I saw over 20 vehicles from @PHXFire @AZNationalGuard returning from #Harvey. Amazed at the support!"
"119","Meeting with @EnergyCorridor businesses regarding plans to return normalcy. #Harvey #HoustonStrong https://t.co/IzGLkeYwPo"
"120","RT @HoustonISD: Register today: #HISD Parent Summit to support learning and provide resources on recovering from #Harvey. https://t.co/C90Q…"
"121","@statesman BEWARE! photos from my SE Austin back yard, 09/05: Cottonmouth AKA water moccasin snake? Venomous. After… https://t.co/7mn7qswilj"
"122","What's up at the Austin Diaper Bank? Our newsletter: #Harvey relief, new ED, #Diaper Need Awareness Week, new bin! https://t.co/al6mnbJXXQ"
"123","9/6: #VET team made field service calls in Jefferson County + still operating in Rockport, Brazoria County &amp; Sour Lake. #TAMU #CVM #Harvey"
"124","RT @TAMUGeosciences: Stuck at sea in the middle of Hurricane #Harvey: read this Texas A&amp;M crew's harrowing story. https://t.co/Q47bPGqR6K #…"
"125","During times like these, the following information could provide to be useful: https://t.co/JvBs6wGYJR #cattle… https://t.co/8dGlIFzUDb"
"126","RT @MattHafeli: As a Beaumont resident post-#Harvey, I give <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> to: @kfdmnews @HEB @Cityofbmt @EntergyTX @verizon @fema @RedCross @sojourn…"
"127","RT @frijoles12: As you can plainly see #Trump folks risking their lives to save #Houston during #Harvey but  ungrateful #Antifa destroy #Be…"
"128","RT @torchnet: Ted Shaw and @texashospitals announce $1M gift to hospital employees affected by #Harvey. Remarkable. To give, go to https://…"
"129","RT @StMarysU: Share what you're doing to help #Harvey victims. We'll RT!

Alumna @tcfitnesshealth used her personal training business to gi…"
"130","RT @USTWSoccer: #Harvey can't keep us down. We're back at it Friday! #USTWS

<U+26BD><U+FE0F> vs. #NAIASoccer #11 @MobileRams
<ed><U+00A0><U+00BD><ed><U+00B3><U+0085> Sept. 8
<U+23F0> 7 p.m.
<ed><U+00A0><U+00BD><ed><U+00B3><U+008D> Orange…"
"131","RT @PoojaOnTV: Crews working to get Beltway 8 open again!  #abc13 #Harvey https://t.co/IWNIcJ2v0r"
"132","Oh man :( #Harvey #aftermath #whatasight https://t.co/JTRA6HJQX6"
"133","#Harvey: The foundation of a home is where I'm standing. The roof is in the tree. https://t.co/HaQCnuQ5cp"
"134","Partnering with @AggieSoccer to help families of children fighting cancer who have been affected by #harvey.… https://t.co/1UGAArU7tY"
"135","RT @hcphtx: Families affected by #Harvey might not be able to go to clinics, so brought #healthservices to the community. THIS IS #PUBLICHE…"
"136","#Harvey can't keep us down. We're back at it Friday! #USTWS

<U+26BD><U+FE0F> vs. #NAIASoccer #11 @MobileRams
<ed><U+00A0><U+00BD><ed><U+00B3><U+0085> Sept. 8
<U+23F0> 7 p.m.… https://t.co/EozDzyaxZG"
"137","RT @mihirzaveri: By @GabMoBanks: Homeowners, businesses sue Army Corps over releases from Addicks and Barker of #Harvey floodwater https://…"
"138","Umm, triangular shaped head--water moccasin or cottonmouth snake? Shot these photos near my back door, 09/05, SE Au… https://t.co/IglgOHZMCL"
"139","RT @WazabiBaytown: Happy hour all night for the month of September #happy hour #harvey #sushi #foodporn #baytown"
"140","RT @TDHCA: If you applied for @FEMA disaster assistance, here's what you can expect next. For more #Harvey recovery info, see: https://t.co…"
"141","RT @BridgeTheGulf: In #PortArthur @jsdart reports on @HiltonKelley's return after #Harvey &amp; why we need #AJustHarveyRecovery. https://t.co/…"
"142","RT @EmilyAmPress: 'You are my heroes.' Mayor praises volunteers, employees, law enforcement agencies for helping #Harvey recovery https://t…"
"143","Harris County was warned of flood risk 20 years ago https://t.co/DoUBbdJWXs via @ABC13Houston#cnn #abc #harvey"
"144","Sorry Mijos WEPA IS RESCHEDULED FOR NEXT WEEK DUE TO #Harvey Renovations FREE RSVP IS STILL… https://t.co/9q5VpAuNmZ"
"145","Well that was two hours of my life I won't be getting back. #Harvey #Traffic"
"146","RT @BAP2017: Texas Mother Drowned Saving 3-Year-Old Daughter Found Clinging To Her Back!
#ColetteSulcer #Harvey #Texas #RIPColetteSulcer #H…"
"147","RT @HoustonSPCA: Updated link: https://t.co/I8oalAYVKk. Lost and found for #Harvey victims. Please share! https://t.co/x7q6tGIIfN"
"148","Tell the @realDonaldTrump regime: Restore the Federal Flood Risk Management Standard. https://t.co/kjuMCTsO5a via @CREDOMobile #harvey"
"149","RT @HoustonPubMedia: #DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/TiQ1f4cqoo #houstonflood htt…"
"150","RT @MidlandOfficial: Please text ""Harvey"" to 90999 to help our brothers and sisters in Texas #TexasStrong #Harvey https://t.co/XqaeTTobD5"
"151",".@googoodolls turn The Woodlands #Texas concert into Hurricane #Harvey benefit https://t.co/b2rASJhePg https://t.co/TFoFLSYunC"
"152","My tour of District A cont'd. Some Dist A residents west of dam finally able to return home to access the damage.… https://t.co/CF0w6NqpF3"
"153","#Harvey recovery efforts have been stymied by traffic, with months’ worth of work still ahead.
https://t.co/4aDKtmQFNf"
"154","RT @GulfStateHB: Harvey flood dangers, what to look out for! #harvey #Flood #houston #dangerous https://t.co/9IBrZTeGUV"
"155","Press release on #UTSA Houston football game not being made up this season. Was canceled due to #Harvey… https://t.co/txUPvSyAx0"
"156","Post-#Harvey FEMA is dangerously close to running out of money. With #Irma on the way wasting $ on a Trump vanity wall would be ridiculous."
"157","One more thing that has slipped out of my brain because #Harvey. Adding it to the list."
"158","It's somehow worse than before #Harvey <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>"
"159","Dr. Richard Gibbs talks about how preparation made it possible for research to resume at Baylor after #Harvey. https://t.co/tN8cah5aCr"
"160","RT @HoustonISD: Former Second Lady Dr. Jill Biden is w/ @SavetheChildren @ Forest Brook MS to see how #Harvey impacted the school community…"
"161","RT @HoustonPubMedia: Here's one of the many native species the @WildlifeCenterT has rescued due to #Harvey. Watch for the story tomorrow! h…"
"162","RT @HarrisCountyDAO: Harris County District Attorney's Office staff packing, moving and awaiting our new homes. #Harvey #HoustonStrong http…"
"163","@lauferlaw But we still have <ed><U+00A0><U+00BC><ed><U+00BC><U+00AE><ed><U+00A0><U+00BC><ed><U+00BC><U+00AE><ed><U+00A0><U+00BC><ed><U+00BC><U+00AE> so we win. #texas #harvey"
"164","We offer 3 wine pairings for your @HouRestaurantWk meal. And each one of them benefits Hurricane #Harvey relief!… https://t.co/aA5VwoL4iM"
"165","@TxDOT appreciates @USDOT &amp; the opportunity to provide information on infrastructure in TX after #Harvey https://t.co/UDGDipE540"
"166","There are still people in need of relief from #Harvey. Visit our website to see how you can help! https://t.co/wpe6Bx1ePm"
"167","#DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/TiQ1f4cqoo #houstonflood https://t.co/Q1YurbRHSH"
"168","#DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/8Eowo55Awn #houstonflood https://t.co/gY9RRmSv1b"
"169","#DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/44R8oHaL8f #houstonflood https://t.co/56vVFCQ226"
"170","RT @tamu_ocean: Post-Hurricane #Harvey Recovery Resources, via @TXSeaGrant: https://t.co/mVncgqxQBE https://t.co/9py4lGtNZf"
"171","Three hours on the road and still counting.. Takes 45 mins in heavy traffic on a regular day #houston #Harvey"
"172","All these hurricanes coming. Mother Nature is angry at the Gulf states. #RedStates #trump #Irma #jose #harvey"
"173","Here is the latest on the #WestHouston curfew to allow for safety in #harvey recovery https://t.co/GhL5cp5QOI"
"174","'You are my heroes.' Mayor praises volunteers, employees, law enforcement agencies for helping #Harvey recovery https://t.co/Rl0Jwkeh6R"
"175","RT @TTLA_: Help @TTLA_ support the relief &amp; rebuilding efforts for the communities affected by #Harvey. Contribute here: https://t.co/6ZOih…"
"176","RT @BakerInstitute: How #Houston can protect against another #Harvey-like #flood. Faculty Scholar Jim Blackburn's report explains —&gt; https:…"
"177","RT @elizabethcrisp: ICYMI: @POTUS  identifies 12 charities he's giving $1M to for #Harvey relief https://t.co/A9rqEs2Ewn"
"178","RT @romeo_yatar: Huge Thanks H-E-B for your donations! #Harvey @rickeycbailey @SpringISD @BaileyBuccaneers
@SpringISDStrong
@Dr George Flor…"
"179","Due to the after-effects of Hurricane #Harvey, the date and location for this event have changed. https://t.co/2l8EIyEuvg"
"180","RT @ReadyHarris: Neighbors helping neighbors: help each other out with difficult/heavy #debris removal to prevent injury. #Harvey #safetyfi…"
"181","SJMC didn't experience any significant damage to our bldgs &amp; were fortunate to remain operational, without any incidents, throughout #Harvey"
"182","RT @ReadyHarris: FROM @TxDOT and @HCTRA |  Workng Together to Restore West Houston Mobility #Harvey https://t.co/WTdxqqsfrk https://t.co/Po…"
"183","#RedCross Exec Doesn't Know What Portion Of Donations Go To #Harvey Relief
https://t.co/9D25hXll4R"
"184","RT @_JuanRodriguez_: Students at @LamarUniversity are getting college credit for helping out in #Harvey recovery efforts

We'll explain on…"
"185","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/LUMjywLpT9 #houstonflood https://t.co/nMuyB4T5aU"
"186","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/jKDmg7wNwh #houstonflood https://t.co/yhcSpfzsEg"
"187","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/A6CCgVcs3R #houstonflood https://t.co/5NfS9JDwVm"
"188","ICYMI: @POTUS  identifies 12 charities he's giving $1M to for #Harvey relief https://t.co/A9rqEs2Ewn"
